iter	RMSE
0	0.4336232073
1	0.4311981188
2	0.4289363818
3	0.4267770276
4	0.4245250068
5	0.422428783
6	0.4203047818
7	0.4182636044
8	0.4160911925
9	0.4139174753
10	0.4120914082
11	0.4101571809
12	0.4081854539
13	0.4062378514
14	0.404239499
15	0.4022770311
16	0.400206017
17	0.3983263141
18	0.3966212278
19	0.394713683
20	0.3929586448
21	0.3910281292
22	0.3892181015
23	0.3875958579
24	0.3859703634
25	0.384182241
26	0.3825882501
27	0.3808852265
28	0.3794321444
29	0.3778446096
30	0.3761871267
31	0.3744687426
32	0.3728178829
33	0.3713076128
34	0.3696790704
35	0.368175977
36	0.3666185762
37	0.3653056451
38	0.3639739141
39	0.362438381
40	0.3611664147
41	0.3597386115
42	0.3584038943
43	0.3569944975
44	0.3555363669
45	0.3543550408
46	0.3529654716
47	0.3517719595
48	0.3504052753
49	0.3491132701
50	0.3479285382
51	0.3467818295
52	0.3455038178
53	0.3443221601
54	0.3429852496
55	0.3418956479
56	0.3407961397
57	0.3396438019
58	0.3384066157
59	0.3372050066
60	0.336016905
61	0.3349554004
62	0.3337829015
63	0.332476201
64	0.3312788556
65	0.3300937669
66	0.3289495087
67	0.3280522254
68	0.3269643751
69	0.3259518095
70	0.3249778891
71	0.3239188235
72	0.3229410136
73	0.3220057563
74	0.3210838363
75	0.3200367947
76	0.319220025
77	0.3182010526
78	0.3172433995
79	0.3161971502
80	0.3151424814
81	0.3142986311
82	0.3134106409
83	0.3125820079
84	0.3116936855
85	0.3107340953
86	0.309917759
87	0.3092490928
88	0.3086093518
89	0.3078168211
90	0.3070655022
91	0.3063461513
92	0.3055373739
93	0.3048698772
94	0.304144415
95	0.3032441373
96	0.302594298
97	0.3019183406
98	0.3011190329
99	0.3005086858
100	0.2998182423
101	0.299160159
102	0.2983458989
103	0.29763809
104	0.2969838715
105	0.2963195525
106	0.2955515637
107	0.2947408566
108	0.2940457885
109	0.2933052456
110	0.2925207817
111	0.2919406759
112	0.2912733171
113	0.2905929124
114	0.289909297
115	0.2892751088
116	0.2885171964
117	0.2878696697
118	0.2872325364
119	0.2865098343
120	0.2858472116
121	0.2851936278
122	0.2845114928
123	0.2839651436
124	0.283385741
125	0.2827355037
126	0.2822539205
127	0.2816253736
128	0.2810621014
129	0.2805939953
130	0.2800248386
131	0.2794676641
132	0.2788946029
133	0.2783288701
134	0.2777399972
135	0.2772149493
136	0.2767048007
137	0.2761792388
138	0.275728531
139	0.2751399091
140	0.2747327732
141	0.2743101107
142	0.2738583069
143	0.2734023795
144	0.2730203869
145	0.272593336
146	0.2721736901
147	0.2717714063
148	0.2713603924
149	0.2709969929
150	0.2705257063
151	0.2700313626
152	0.269608205
153	0.2690484327
154	0.2685624674
155	0.2680609517
156	0.2676835717
157	0.2672104864
158	0.2668511428
159	0.2664972348
160	0.2660517687
161	0.2656924468
162	0.2652480988
163	0.2648754643
164	0.2645173892
165	0.2640147073
166	0.2635672889
167	0.2630920288
168	0.2626012774
169	0.2622230609
170	0.2618506155
171	0.2614964509
172	0.2611597602
173	0.2608551599
174	0.2604823798
175	0.2600045793
176	0.2596469988
177	0.2593439625
178	0.2589560827
179	0.2586446235
180	0.2583113563
181	0.2579636263
182	0.2576253173
183	0.2572943767
184	0.256941559
185	0.256546334
186	0.2561937881
187	0.2557663842
188	0.2554066267
189	0.2550483002
190	0.254693239
191	0.2543043792
192	0.2539118891
193	0.2535642649
194	0.2531481951
195	0.2527974511
196	0.2525312249
197	0.252232056
198	0.251992611
199	0.2517092307
200	0.2514536393
201	0.2511042642
202	0.2507710435
203	0.2503491673
204	0.2499785381
205	0.2496315408
206	0.2493755728
207	0.249002511
208	0.2487859595
209	0.2484539103
210	0.2481431352
211	0.2478341261
212	0.2475007724
213	0.2472415765
214	0.2469005388
215	0.246693154
216	0.2464542226
217	0.2461432113
218	0.2458177806
219	0.2455269778
220	0.2452603715
221	0.2449681919
222	0.2447024586
223	0.2443863239
224	0.2441214117
225	0.243856963
226	0.2434875188
227	0.2432749173
228	0.2430752925
229	0.2428416348
230	0.2426576939
231	0.2424600523
232	0.2422453347
233	0.2419473999
234	0.2417682204
235	0.2414880176
236	0.2412408203
237	0.2409559334
238	0.2406681963
239	0.2404634407
240	0.240195337
241	0.2399688568
242	0.2397635446
243	0.2395164993
244	0.2393097812
245	0.2390382298
246	0.2388384747
247	0.2387219327
248	0.2384576307
249	0.2382020397
250	0.2379699309
251	0.2376185984
252	0.2373175242
253	0.2370739845
254	0.2367781556
255	0.2365561149
256	0.23633545
257	0.2361322855
258	0.2358922529
259	0.2357185716
260	0.2354982587
261	0.2352434481
262	0.2349449992
263	0.2347771761
264	0.2346220017
265	0.2343234777
266	0.2341510196
267	0.2339601241
268	0.233737262
269	0.2334725304
270	0.233240633
271	0.2330160938
272	0.2328358469
273	0.2326414568
274	0.2324687914
275	0.232273159
276	0.2320165428
277	0.231807679
278	0.231603234
279	0.2313968533
280	0.2312634799
281	0.2310783646
282	0.2308839479
283	0.230762655
284	0.2305663298
285	0.2303667446
286	0.2302243411
287	0.2300390217
288	0.2298879724
289	0.2296425235
290	0.2294572858
291	0.2293185159
292	0.2291388964
293	0.2290086814
294	0.2288036258
295	0.2285356479
296	0.2283622558
297	0.2281147817
298	0.2279667074
299	0.227785534
300	0.22758071
301	0.2273966913
302	0.2272125138
303	0.2270731476
304	0.226864267
305	0.226736629
306	0.2265968399
307	0.2264838632
308	0.2262575837
309	0.2261224277
310	0.2258992819
311	0.2257472736
312	0.2255526462
313	0.2254004713
314	0.2251757325
315	0.225002839
316	0.2248604702
317	0.2247045564
318	0.2245616472
319	0.2244103716
320	0.2242784044
321	0.2241237413
322	0.2239844842
323	0.2237256632
324	0.2235597882
325	0.223370579
326	0.2232275651
327	0.2230613945
328	0.2228792067
329	0.2226849029
330	0.2225322482
331	0.2223478861
332	0.2222277859
333	0.2220998504
334	0.2218407662
335	0.2216915503
336	0.2215868623
337	0.2213762715
338	0.2212170813
339	0.2210878248
340	0.2209270886
341	0.2207921148
342	0.2206489083
343	0.2205430053
344	0.2204276589
345	0.2202792915
346	0.2200761847
347	0.2199156204
348	0.2196916344
349	0.2195449095
350	0.2193977204
351	0.2192680936
352	0.2191242775
353	0.2189797602
354	0.2188065909
355	0.2186574389
356	0.2184937649
357	0.2183516791
358	0.2182203966
359	0.2180293397
360	0.2178634097
361	0.2177094938
362	0.2175947298
363	0.2174006695
364	0.2172700034
365	0.2171066314
366	0.2169502125
367	0.216774286
368	0.2166139962
369	0.2164542192
370	0.2162970367
371	0.2161904295
372	0.216018466
373	0.2158967397
374	0.2157395462
375	0.2156514316
376	0.2155172391
377	0.2154443261
378	0.2153241176
379	0.2152357608
380	0.2150487661
381	0.2149241811
