iter	Passed	Remaining
402	13114	12918
403	13146	12886
404	13182	12856
405	13215	12825
406	13247	12791
407	13279	12758
408	13310	12725
409	13339	12688
410	13371	12655
411	13402	12621
412	13438	12592
413	13470	12559
414	13503	12527
415	13553	12511
416	13589	12481
417	13623	12450
418	13656	12418
419	13689	12385
420	13724	12355
421	13756	12322
422	13791	12291
423	13827	12261
424	13859	12229
425	13890	12195
426	13920	12159
427	13950	12125
428	13983	12092
429	14015	12059
430	14050	12029
431	14082	11996
432	14116	11964
433	14146	11929
434	14177	11896
435	14207	11861
436	14241	11830
437	14272	11795
438	14299	11758
439	14330	11725
440	14363	11692
441	14393	11658
442	14424	11624
443	14453	11589
444	14488	11558
445	14521	11526
446	14557	11495
447	14585	11460
448	14613	11424
449	14643	11389
450	14674	11355
451	14706	11322
452	14736	11288
453	14769	11255
454	14801	11222
455	14829	11187
456	14860	11153
457	14890	11118
458	14920	11084
459	14952	11052
460	14992	11024
461	15022	10990
462	15056	10959
463	15088	10926
464	15121	10893
465	15153	10860
466	15183	10826
467	15213	10792
468	15247	10761
469	15284	10731
470	15314	10697
471	15349	10666
472	15382	10634
473	15418	10604
474	15452	10572
475	15483	10539
476	15516	10507
477	15546	10472
478	15577	10439
479	15607	10405
480	15637	10371
481	15669	10337
482	15700	10304
483	15731	10270
484	15763	10238
485	15794	10204
486	15825	10171
487	15857	10138
488	15892	10107
489	15925	10075
490	15957	10042
491	15987	10008
492	16019	9975
493	16051	9942
494	16082	9909
495	16112	9875
496	16142	9841
497	16171	9806
498	16201	9772
499	16233	9740
500	16268	9709
501	16299	9676
502	16329	9642
503	16359	9607
504	16387	9573
505	16418	9539
506	16447	9505
507	16480	9473
508	16513	9440
509	16544	9407
510	16575	9374
511	16608	9342
512	16639	9308
513	16670	9275
514	16701	9242
515	16731	9208
516	16764	9176
517	16798	9145
518	16830	9112
519	16865	9081
520	16899	9050
521	16935	9019
522	16969	8987
523	17002	8955
524	17034	8922
525	17063	8888
526	17093	8855
527	17123	8821
528	17153	8787
529	17184	8754
530	17218	8722
531	17250	8690
532	17281	8657
533	17315	8625
534	17346	8591
535	17374	8557
536	17409	8526
537	17441	8493
538	17476	8462
539	17509	8430
540	17541	8397
541	17575	8366
542	17605	8332
543	17638	8300
544	17673	8269
545	17705	8236
546	17737	8204
547	17769	8171
548	17798	8137
549	17827	8103
550	17860	8071
551	17890	8037
552	17918	8003
553	17949	7970
554	17978	7936
555	18008	7902
556	18038	7869
557	18070	7836
558	18101	7804
559	18136	7772
560	18170	7741
561	18202	7708
562	18234	7676
563	18266	7643
564	18304	7613
565	18334	7580
566	18366	7547
567	18398	7514
568	18427	7481
569	18458	7448
570	18489	7415
571	18519	7382
572	18553	7350
573	18584	7317
574	18617	7284
575	18649	7252
576	18678	7219
577	18708	7185
578	18736	7151
579	18768	7119
580	18799	7086
581	18830	7053
582	18862	7020
583	18893	6988
584	18920	6953
585	18951	6920
586	18980	6887
587	19010	6854
588	19041	6821
589	19072	6788
590	19106	6756
591	19137	6723
592	19166	6690
593	19197	6657
594	19227	6624
595	19258	6591
596	19290	6559
597	19324	6527
598	19354	6494
599	19385	6461
600	19416	6429
601	19445	6395
602	19476	6362
603	19508	6330
604	19541	6298
605	19574	6266
606	19605	6233
607	19638	6201
608	19673	6170
609	19706	6137
610	19741	6106
611	19771	6073
612	19804	6041
613	19834	6008
614	19866	5976
615	19899	5943
616	19932	5911
617	19963	5879
618	19997	5847
619	20026	5814
620	20059	5782
