jurirno,brkrNm,ldCodeNm,registDe,mnnmadr,estbsBeginDe,estbsEndDe,sttusSeCode,bsnmCmpnm,등록번호,거래완료,등록매물,총매물수,영업년수,일평균거래,구평균성사율,구평균매물수,지역권평균성사율,지역권평균매물수,보증보험유효,영업일수,거래성사율,지역권평균거래,trust_target,등록비율,규모지수,지역내백분위,지역중개사수,거래효율성,매물활용도,지역경쟁력,상대적성과,log_거래완료,log_총매물수,predicted_score,actual_grade,final_temperature,final_grade
92420000-4302,추진욱,서울특별시 구로구,2014-07-31,서울특별시 구로구 가리봉동 107-30,2025-08-05,2026-08-04,1,바른길공인중개사사무소,92420000-4302,836,18,854,0.3315068493150685,0.20168878161599788,2139.5714285714284,2194.1428571428573,2139.5714285714284,2194.1428571428573,1,4145,0.9789227154813551,2139.5714285714284,366.78456928060064,0.02107728334768468,6.75110146893676,0.42857142857142855,7,46.44444186419767,0.9789227154813551,119.42855436734938,0.3907324562505758,6.729824070489475,6.75110146893676,321.20935359552067,A,0.0029308133009495474,B
11350-2020-00047,김광훈,서울특별시 노원구,2020-04-20,서울특별시 노원구 상계동 177-59,2025-04-20,2026-04-19,1,경성공인중개사사무소,11350-2020-00128,0,0,0,0.6246575342465753,0.0,5783.333333333333,5797.0,5783.333333333333,5797.0,1,2055,0.0,5783.333333333333,1.0,0.0,0.0,0.5,3,0.0,0.0,0.0,0.0,0.0,0.0,116.25818066141505,D,0.0017154461493900264,C
11350-2020-00128,김명숙,서울특별시 노원구,2020-12-02,서울특별시 노원구 상계동 670-2,2025-12-02,2026-12-01,1,경성공인중개사사무소,11350-2020-00128,0,0,0,0.0054794520547945,0.0,5783.333333333333,5797.0,5783.333333333333,5797.0,1,1829,0.0,5783.333333333333,1.0,0.0,0.0,0.5,3,0.0,0.0,0.0,0.0,0.0,0.0,117.7518492260019,D,0.0017243036527784044,C
11350-2022-00001,도정일,서울특별시 노원구,2022-01-03,서울특별시 노원구 공릉동 517-88,2025-01-03,2026-01-02,1,하늘부동산공인중개사사무소,11350-2022-00001,17350,41,17391,0.9178082191780822,12.115921779248657,5783.333333333333,5797.0,5783.333333333333,5797.0,1,1432,0.9976424586856626,5783.333333333333,7092.088491553057,0.002357541256836436,9.763765609360991,1.0,3,423.17072138608,0.9976424586856626,5783.331405556198,2.999999999481268,9.761405420601672,9.763765609360991,7329.468559605846,S,0.044490019362864,S
11620-2019-00142,김현주,서울특별시 관악구,2019-07-10,서울특별시 관악구 신림동 122-33,2025-07-10,2026-07-09,1,에이스공인중개사사무소,11620-2025-00008,0,3,3,0.4027397260273972,0.0,15736.739130434782,15813.27536231884,15736.739130434782,15813.27536231884,1,2340,0.0,15736.739130434782,1.0,0.9999996666667778,1.3862943611198906,0.07971014492753623,69,0.0,0.0,0.0,0.0,0.0,1.3862943611198906,-34.14159545740131,D,0.0008235705632206069,D
11620-2024-00037,서영희,서울특별시 관악구,2024-04-03,서울특별시 관악구 신림동 1528-1,2025-04-04,2026-04-03,1,에이스공인중개사사무소,11620-2025-00008,0,3,3,0.6684931506849315,0.0,15736.739130434782,15813.27536231884,15736.739130434782,15813.27536231884,1,611,0.0,15736.739130434782,1.0,0.9999996666667778,1.3862943611198906,0.07971014492753623,69,0.0,0.0,0.0,0.0,0.0,1.3862943611198906,-26.629428067478308,D,0.000868117961276555,D
11620-2025-00008,이다솜,서울특별시 관악구,2025-01-23,서울특별시 관악구 신림동 510-1,2025-01-24,2026-01-23,1,에이스공인중개사사무소,11620-2025-00008,0,3,3,0.8602739726027397,0.0,15736.739130434782,15813.27536231884,15736.739130434782,15813.27536231884,1,316,0.0,15736.739130434782,1.0,0.9999996666667778,1.3862943611198906,0.07971014492753623,69,0.0,0.0,0.0,0.0,0.0,1.3862943611198906,-25.397936835138886,D,0.0008754207445189815,D
11440-2023-00084,김진아,서울특별시 마포구,2023-06-01,서울특별시 마포구 서교동 451-55,2025-06-02,2026-06-01,1,집토스부동산중개마포본점,11440-2023-00084,63750,134,63884,0.5068493150684932,69.44444436879691,33797.21428571428,33861.78571428572,33797.21428571428,33861.78571428572,1,918,0.997902448171719,33797.21428571428,26225.38151713312,0.0020975518126276132,11.064839871025423,0.9285714285714286,14,475.74626510637114,0.997902448171719,4553.57110331635,1.8862501346763418,11.062740149172154,11.064839871025423,27566.288513418454,S,0.1644950228560412,S
11710-2025-00149,차주현,서울특별시 송파구,2025-09-04,서울특별시 송파구 삼전동 60-12,2025-09-04,2026-09-03,1,삼전부동산중개법인주식회사,11710-2025-00149,16,20,36,0.2493150684931507,0.17391304158790172,3650.272727272728,3677.090909090909,3650.272727272728,3677.090909090909,1,92,0.44444443209876583,3650.2727272727275,22.472463378841994,0.5555555401234572,3.6109179126442243,0.36363636363636365,22,0.799999960000002,0.44444443209876583,0.7272726942148775,0.004383234128254039,2.833213344056216,3.6109179126442243,89.50497253904815,C,0.0015567987511572088,C
11620-2023-00105,김지훈,서울특별시 관악구,2023-08-24,서울특별시 관악구 봉천동 874-1,2025-08-25,2026-08-24,1,오늘의부동산공인중개사사무소,11620-2023-00105,1500,64,1564,0.2767123287671232,1.7985611489225886,15736.739130434782,15813.27536231884,15736.739130434782,15813.27536231884,1,834,0.959079283274246,15736.739130434782,647.7579899874532,0.040920716086367825,7.355641102974253,0.6086956521739131,69,23.43749963378907,0.959079283274246,21.739130119722752,0.09531834946692917,7.313886831633462,7.355641102974253,795.5166887018086,A,0.00574347129445737,A
