jurirno,brkrNm,ldCodeNm,registDe,mnnmadr,estbsBeginDe,estbsEndDe,sttusSeCode,bsnmCmpnm,등록번호,거래완료,등록매물,총매물수,영업년수,일평균거래,구평균성사율,구평균매물수,지역권평균성사율,지역권평균매물수,보증보험유효,영업일수,거래성사율,지역권평균거래,trust_target,등록비율,규모지수,지역내백분위,지역중개사수,거래효율성,매물활용도,지역경쟁력,상대적성과,log_거래완료,log_총매물수,predicted_score,actual_grade,final_temperature,final_grade
11650-2022-00036,최미나,서울특별시 서초구,2022-01-18,서울특별시 서초구 서초동 1630-2,2025-01-18,2026-01-17,1,바른공인중개사사무소,11650-2022-00036,441,11,452,0.8767123287671232,0.3112208889829069,393.8,434.6,393.8,434.6,1,1417,0.9756637146556113,393.8,209.78212032949742,0.024336283131999373,6.115892125483034,0.7,10,40.090905446281326,0.9756637146556113,44.09999559000045,1.1198577929917273,6.091309882077698,6.115892125483034,210.00692958047165,B,0.0022713792933913802,B
11545-2025-00041,최건민,서울특별시 금천구,2025-10-29,서울특별시 금천구 가산동 145-4,2025-10-29,2026-10-28,1,하임부동산 공인중개사사무소,11545-2025-00041,0,50,50,0.0986301369863013,0.0,17257.85714285714,17328.95238095238,17257.85714285714,17328.95238095238,1,37,0.0,17257.85714285714,1.0,0.9999999800000005,3.9318256327243257,0.047619047619047616,21,0.0,0.0,0.0,0.0,0.0,3.9318256327243257,-82.20537830455089,D,0.0005385507606215909,D
11620-2025-00083,양경순,서울특별시 관악구,2025-07-02,서울특별시 관악구 신림동 1421-23,2025-07-03,2026-07-02,1,신우공인중개사사무소,11620-2025-00083,0,40,40,0.421917808219178,0.0,15736.739130434782,15813.27536231884,15736.739130434782,15813.27536231884,1,156,0.0,15736.739130434782,1.0,0.9999999750000007,3.713572066704308,0.07971014492753623,69,0.0,0.0,0.0,0.0,0.0,3.713572066704308,-34.34297684953483,D,0.0008223763649858249,D
11230-2016-00082,주요한,서울특별시 동대문구,2016-06-07,서울특별시 동대문구 제기동 137-117,2025-06-07,2026-06-06,1,대운공인중개사사무소주식회사,11230-2016-00082,0,7,7,0.4931506849315068,0.0,1085.4615384615386,1119.1538461538462,1085.4615384615386,1119.1538461538462,1,3468,0.0,1085.4615384615386,1.0,0.9999998571428775,2.0794415416798357,0.15384615384615385,13,0.0,0.0,0.0,0.0,0.0,2.0794415416798357,-10.945395948607068,D,0.0009611247841621659,D
92430000-1481,백종훈,서울특별시 금천구,2012-10-05,서울특별시 금천구 가산동 149-21,2025-10-05,2026-10-04,1,덕산공인중개사사무소,92430000-1481,35805,165,35970,0.1643835616438356,7.445414845613346,17257.85714285714,17328.95238095238,17257.85714285714,17328.95238095238,1,4809,0.9954128440090239,17257.85714285714,14427.316533776404,0.004587155963175225,10.490468337248462,0.9523809523809523,21,216.9999986848485,0.9954128440090239,1704.9999188095276,2.0747071725961432,10.485870756111218,10.490468337248462,15177.682052634507,S,0.0910301817893556,S
11260-2017-00053,채희원,서울특별시 중랑구,2017-05-25,서울특별시 중랑구 묵동 240-31,2025-05-25,2026-05-24,1,감자공인중개사사무소,11260-2017-00053,22344,39,22383,0.5287671232876713,7.170731705015812,4891.5,4927.333333333333,4891.5,4927.333333333333,1,3116,0.9982576061744065,4891.5,9040.255045235392,0.0017423937809166602,10.016101696905263,1.0,12,572.923062232742,0.9982576061744065,1861.9998448333463,4.567923948774829,10.014357861367552,10.016101696905263,8754.508875572052,S,0.05294055499473457,S
11215-2020-00005,김철호,서울특별시 광진구,2020-01-16,서울특별시 광진구 자양동 794,2025-01-16,2026-01-15,1,금빛부동산공인중개사사무소,11215202000005,102,9,111,0.8821917808219178,0.0474418604430503,1080.5,1105.8846153846157,1080.5,1105.8846153846157,1,2150,0.9189189106403702,1080.5,69.8419859236416,0.0810810803506209,4.718498871295094,0.34615384615384615,26,11.333332074074216,0.9189189106403702,3.9230767721893547,0.09440074031059625,4.634728988229636,4.718498871295094,59.56991549230704,C,0.0013792828848471059,C
11500-2025-00028,강라진,서울특별시 강서구,2024-01-02,서울특별시 강서구 염창동 261-4,2025-01-03,2026-01-02,1,라라공인중개사사무소,11500-2025-00028,576,22,598,0.9178082191780822,0.8193456602854258,7493.90625,7538.03125,7493.90625,7538.03125,1,703,0.9632107007304169,7493.90625,268.48977762476676,0.03678929759734231,6.395261598115449,0.5,32,26.18181699173559,0.9632107007304169,17.99999943750002,0.07686245073097059,6.3578422665081,6.395261598115449,313.0419104112375,B,0.0028823800960242067,B
11650-2018-00285,서민정,서울특별시 서초구,2018-10-17,서울특별시 서초구 잠원동 69-13,2025-10-17,2026-10-16,1,고터공인중개사사무소,11650-2018-00285,0,0,0,0.1315068493150684,0.0,393.8,434.6,393.8,434.6,1,2606,0.0,393.8,1.0,0.0,0.0,0.2,10,0.0,0.0,0.0,0.0,0.0,0.0,11.250445483903619,D,0.0010927468490281738,C
92480000-04219,강희선,서울특별시 관악구,2010-05-04,서울특별시 관악구 신림동 1534-14,2025-05-10,2026-05-09,1,대양부동산공인중개사사무소,92480000-04219,11432,30,11462,0.5698630136986301,2.0077274320323624,15736.739130434782,15813.27536231884,15736.739130434782,15813.27536231884,1,5694,0.9973826556449674,15736.739130434782,4623.798753989672,0.0026173442677877032,9.34687973611501,0.7971014492753623,69,381.06665396444487,0.9973826556449674,165.68115701911367,0.7264529140706228,9.34425918954197,9.34687973611501,4486.45217067278,S,0.02763083929090832,S
11590-2024-00102,김도원,서울특별시 동작구,2024-12-02,서울특별시 동작구 상도동 361-28,2024-12-02,2025-12-01,1,또또부동산공인중개사사무소,11590-2024-00102,1819,39,1858,1.0054794520547945,4.942934769176808,6821.2,6887.0,6821.2,6887.0,0,368,0.9790096873094672,6821.2,806.3996383110521,0.02099031215231953,7.527793987721444,0.6,15,46.64102444510194,0.9790096873094672,121.26665858222276,0.2666686213178519,7.506591780070841,7.527793987721444,959.4340431317667,A,0.00671550656165129,A
11230-2019-00084,정순균,서울특별시 동대문구,2019-07-05,서울특별시 동대문구 답십리동 493-1,2025-07-05,2026-07-04,1,주식회사리치파트너스부동산중개법인,11230-2019-00084,1034,29,1063,0.4164383561643835,0.4409381661232673,1085.4615384615386,1119.1538461538462,1085.4615384615386,1119.1538461538462,1,2345,0.9727187196870002,1085.4615384615386,448.19094325184267,0.027281279372265963,6.96979066990159,0.8461538461538461,13,35.65517118430444,0.9727187196870002,79.53845542011882,0.9525901769978261,6.942156705699469,6.96979066990159,573.3662456177912,A,0.004426111908983083,A
11620-2020-00177,김태리,서울특별시 관악구,2020-08-26,서울특별시 관악구 신림동 498-6,2025-08-27,2026-08-26,1,장군공인중개사사무소,11620202000177,18718,158,18876,0.2712328767123287,9.713544364445488,15736.739130434782,15813.27536231884,15736.739130434782,15813.27536231884,1,1927,0.9916295824861395,15736.739130434782,7615.08433111904,0.00837041746088311,9.845699528768733,0.855072463768116,69,118.46835368058004,0.9916295824861395,271.27535838731364,1.1894459102146535,9.83729432980133,9.845699528768733,8031.508155784655,S,0.04865313710488425,S
11410-2019-00141,김승주,서울특별시 서대문구,2019-12-20,서울특별시 서대문구 북아현동 1011,2024-12-20,2025-12-19,1,뉴롯데공인중개사사무소,11410-2019-00141,340,5,345,0.9561643835616438,0.15617822684603666,18551.14285714286,18596.85714285714,18551.14285714286,18596.85714285714,1,2177,0.9855072435202689,18551.14285714286,168.12699957406844,0.014492753581180424,5.846438775057725,0.5714285714285714,7,67.99998640000271,0.9855072435202689,48.57142163265405,0.018327711807294936,5.831882477283517,5.846438775057725,118.3202097403174,B,0.0017276740491974805,C
11620-2021-00225,곽근호,서울특별시 관악구,2021-12-29,서울특별시 관악구 봉천동 947-15,2024-12-29,2025-12-28,1,새로부동산공인중개사사무소,11620-2021-00225,17136,177,17313,0.9315068493150684,11.924843415501153,15736.739130434782,15813.27536231884,15736.739130434782,15813.27536231884,1,1437,0.9897764684924752,15736.739130434782,7004.341728209786,0.010223531449764713,9.75927070177572,0.8405797101449275,69,96.81355877506464,0.9897764684924752,248.34782248771273,1.0889168243101988,9.74899514766085,9.75927070177572,7400.264905783729,S,0.04490984400872099,S
92360000-3127,김갑열,서울특별시 서대문구,2011-12-08,서울특별시 서대문구 창천동 52-20,2024-12-08,2025-12-07,1,수부동산공인중개사사무소,11410-2017-00155,0,12,12,0.989041095890411,0.0,18551.14285714286,18596.85714285714,18551.14285714286,18596.85714285714,1,5111,0.0,18551.14285714286,1.0,0.9999999166666736,2.5649493574615367,0.21428571428571427,7,0.0,0.0,0.0,0.0,0.0,2.5649493574615367,-49.39645027588031,D,0.0007331087757481839,D
11410-2017-00155,김성욱,서울특별시 서대문구,2017-12-14,서울특별시 서대문구 창천동 506-13,2024-12-15,2025-12-14,1,수부동산공인중개사사무소,11410-2017-00155,0,12,12,0.96986301369863,0.0,18551.14285714286,18596.85714285714,18551.14285714286,18596.85714285714,1,2913,0.0,18551.14285714286,1.0,0.9999999166666736,2.5649493574615367,0.21428571428571427,7,0.0,0.0,0.0,0.0,0.0,2.5649493574615367,-38.60817367321568,D,0.0007970836084710605,D
11620-2022-00170,김광운,서울특별시 관악구,2022-09-23,서울특별시 관악구 봉천동 860-16,2025-09-23,2026-09-22,1,성진공인중개사사무소,11620-2022-00170,816,40,856,0.1972602739726027,0.6980325058186205,15736.739130434782,15813.27536231884,15736.739130434782,15813.27536231884,1,1169,0.9532710269237488,15736.739130434782,362.9784558658987,0.046728971908026905,6.75343791859778,0.5072463768115942,69,20.399999490000013,0.9532710269237488,11.826086785129178,0.05185318211000947,6.705639094860003,6.75343791859778,439.47776422305014,A,0.003632148839976037,A
11215-2017-00026,박정서,서울특별시 광진구,2017-02-20,서울특별시 광진구 중곡동 622-8,2025-02-20,2026-02-19,1,플러스공인중개사사무소,11215-2017-00026,360,12,372,0.7863013698630137,0.11214953267534283,1080.5,1105.8846153846157,1080.5,1105.8846153846157,1,3210,0.9677419328824142,1080.5,175.15375331322585,0.032258064429413806,5.921578419643816,0.5769230769230769,26,29.99999750000021,0.9677419328824142,13.846153313609488,0.33317908344916325,5.8888779583328805,5.921578419643816,213.1002939393959,B,0.002289723045104625,B
11500-2021-00186,심수현,서울특별시 강서구,2021-08-02,서울특별시 강서구 화곡동 379-2,2025-08-05,2026-08-04,1,두드림부동산공인중개사사무소,11500-2021-00186,150,5,155,0.3315068493150685,0.09457755353431427,7493.90625,7538.03125,7493.90625,7538.03125,1,1586,0.9677419292403747,7493.90625,90.97803341255438,0.03225806430801249,5.049856007249537,0.40625,32,29.999994000001198,0.9677419292403747,4.68749985351563,0.020016263211190256,5.017279836814924,5.049856007249537,74.96324787992901,B,0.001470565848828815,C
11680-2016-00546,조관혁,서울특별시 강남구,2016-12-14,서울특별시 강남구 역삼동 672-36,2024-12-14,2025-12-13,1,우정공인중개사사무소,11680-2016-00546,1474,101,1575,0.9726027397260274,0.4496644293930249,5373.442307692308,5450.538461538462,5373.442307692308,5450.538461538462,1,3278,0.9358730152788107,5373.442307692308,623.1728347522945,0.06412698408626857,7.362645270417825,0.7115384615384616,52,14.594059261444958,0.9358730152788107,28.346153301035514,0.2743120546052193,7.29641326877392,7.362645270417825,840.9452163220966,A,0.006012863947463381,A
11260-2021-00107,서민성,서울특별시 중랑구,2021-11-03,서울특별시 중랑구 면목동 410-50,2025-11-03,2026-11-02,1,면목공인중개사사무소,11260-2021-00107,104,20,124,0.084931506849315,0.06965840584751613,4891.5,4927.333333333333,4891.5,4927.333333333333,1,1493,0.8387096706555672,4891.5,68.45787417814219,0.16129032127991677,4.8283137373023015,0.3333333333333333,12,5.199999740000012,0.8387096706555672,8.666665944444505,0.02126137176300493,4.653960350157523,4.8283137373023015,70.42641439138436,C,0.0014436622780166337,C
11620-2022-00217,김영민,서울특별시 관악구,2022-12-28,서울특별시 관악구 신림동 476-11,2024-12-29,2025-12-28,1,태양공인중개사사무소,11620-2022-00217,437,48,485,0.9315068493150684,0.4072693379242597,15736.739130434782,15813.27536231884,15736.739130434782,15813.27536231884,1,1073,0.9010309259772559,15736.739130434782,206.90362115856027,0.09896907196088851,6.186208623900494,0.42028985507246375,69,9.104166476996532,0.9010309259772559,6.333333241545895,0.02776941247803203,6.082218910376446,6.186208623900494,267.01929303182925,B,0.0026094644713368148,B
가-9250-3105,한원우,서울특별시 강남구,1988-01-20,서울특별시 강남구 삼성동 24-2,2025-06-30,2026-06-29,1,내외부동산중개사무소,가-9250-3105,24,12,36,0.4301369863013699,0.0017348561513853653,5373.442307692308,5450.538461538462,5373.442307692308,5450.538461538462,1,13834,0.6666666481481487,5373.442307692308,30.617348005958313,0.33333332407407434,3.6109179126442243,0.25961538461538464,52,1.9999998333333473,0.6666666481481487,0.4615384526627221,0.004466410658429622,3.2188758248682006,3.6109179126442243,-31.905471307898225,C,0.0008368308524846689,D
92510000-03946,양웅철,서울특별시 서초구,2002-02-15,서울특별시 서초구 잠원동 36-25,2025-02-16,2026-02-15,1,홍성부동산중개사무소,92510000-03946,144,22,166,0.7972602739726027,0.016563146996024482,393.8,434.6,393.8,434.6,1,8694,0.8674698742923501,393.8,84.78972769873074,0.1325301196835535,5.117993812416755,0.5,10,6.545454247933898,0.8674698742923501,14.399998560000146,0.3656678507728089,4.976733742420574,5.117993812416755,90.96561523649801,C,0.0015654604100744606,C
11170-2022-00110,윤경미,서울특별시 용산구,2022-12-19,서울특별시 용산구 문배동 2-9,2025-12-19,2026-12-18,1,프라임114공인중개사사무소,11170-2022-00110,0,1,1,-0.0410958904109589,0.0,506.6666666666667,517.6,506.6666666666667,517.6,1,1082,0.0,506.6666666666667,1.0,0.9999990000010001,0.6931471805599453,0.1,15,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,-2.5761914934462933,D,0.0010107544400156522,D
11440-2015-00033,김형구,서울특별시 마포구,2015-02-10,서울특별시 마포구 연남동 487-422,2025-02-11,2026-02-10,1,1등공인중개사사무소,11440-2015-00033,546,37,583,0.810958904109589,0.1381928625314622,33797.21428571428,33861.78571428572,33797.21428571428,33861.78571428572,1,3951,0.9365351613438505,33797.21428571428,248.87798346563017,0.06346483694088365,6.369900982828227,0.5,14,14.756756357925505,0.9365351613438505,38.99999721428591,0.01615517762405149,6.304448802421981,6.369900982828227,232.69078693750157,B,0.002405895308633995,B
11440-2022-00088,박지수,서울특별시 마포구,2022-04-04,서울특별시 마포구 대흥동 2-8,2025-04-04,2026-04-03,1,마포탑공인중개사사무소,11440-2022-00088,779,19,798,0.6684931506849315,0.5809097683960404,33797.21428571428,33861.78571428572,33797.21428571428,33861.78571428572,1,1341,0.9761904749671798,33797.21428571428,347.6948119329758,0.023809523779687314,6.683360945766275,0.7142857142857143,14,40.99999784210537,0.9761904749671798,55.64285316836764,0.02304923693980973,6.659293919683638,6.683360945766275,393.9871184944004,A,0.00336238782455795,A
11530-2020-00051,이재웅,서울특별시 구로구,2020-05-29,서울특별시 구로구 구로동 104-10,2025-05-29,2026-05-28,1,ABC공인중개사사무소,제11530-2020-00051호,1,6,7,0.5178082191780822,0.0004960317457856985,2139.5714285714284,2194.1428571428573,2139.5714285714284,2194.1428571428573,1,2016,0.1428571224489825,2139.5714285714284,5.690673990927332,0.857142734693895,2.0794415416798357,0.14285714285714285,7,0.16666663888889352,0.1428571224489825,0.1428571224489825,0.0004673833208738945,0.6931471805599453,2.0794415416798357,-15.042365929113426,D,0.0009368296183236477,D
11440-2019-00020,최보경,서울특별시 마포구,2019-01-24,서울특별시 마포구 서교동 395-135,2025-01-24,2026-01-23,1,홍대세븐공인중개사사무소,11440-2019-00020,110,12,122,0.8602739726027397,0.04387714397930709,33797.21428571428,33861.78571428572,33797.21428571428,33861.78571428572,1,2507,0.9016393368718087,33797.21428571428,72.48795154594734,0.09836065493147005,4.812184355372417,0.35714285714285715,14,9.166665902777842,0.9016393368718087,7.857142295918408,0.0032547061147356485,4.709530201312334,4.812184355372417,-12.450796548316767,C,0.0009521977094222061,D
11620-2025-00122,임현빈,서울특별시 관악구,2025-10-24,서울특별시 관악구 봉천동 881-37,2025-10-24,2026-10-23,1,집으로부동산공인중개사사무소,11620-2025-00122,1064,61,1125,0.1123287671232876,25.333332730158745,15736.739130434782,15813.27536231884,15736.739130434782,15813.27536231884,1,42,0.9457777769370863,15736.739130434782,708.3066606097001,0.054222222174024684,7.026426808699636,0.5652173913043478,69,17.44262266487504,0.9457777769370863,15.420289631590006,0.06761248255520842,6.970730078143525,7.026426808699636,567.6074152249312,A,0.004391961856603851,A
11170-2020-00059,채방원,서울특별시 용산구,2020-05-21,서울특별시 용산구 보광동 244-12,2025-05-21,2026-05-20,1,행운공인중개사사무소,11170202000059,20,10,30,0.5397260273972603,0.00988142292001906,506.6666666666667,517.6,506.6666666666667,517.6,1,2024,0.6666666444444451,506.6666666666667,29.098813562533543,0.33333332222222256,3.4339872044851463,0.4,15,1.99999980000002,0.6666666444444451,1.3333332444444503,0.039473684132617724,3.044522437723423,3.4339872044851463,68.46888890107059,C,0.0014320540879037976,C
92430000-1529,장혜정,서울특별시 금천구,2013-05-01,서울특별시 금천구 가산동 345-50,2025-05-02,2026-05-01,1,프리미어 공인중개사사무소,92430000-1529,20,8,28,0.5917808219178082,0.004346881111856796,17257.85714285714,17328.95238095238,17257.85714285714,17328.95238095238,1,4601,0.7142856887755111,17257.85714285714,30.4720394743839,0.28571427551020445,3.367295829986474,0.19047619047619047,21,2.4999996875000394,0.7142856887755111,0.9523809070294805,0.00115889242988194,3.044522437723423,3.367295829986474,-70.64330559548746,C,0.0006071142295364844,D
11500-2025-00145,김남균,서울특별시 강서구,2025-10-20,서울특별시 강서구 화곡동 832-4,2025-10-21,2026-10-20,1,라온공인중개사사무소,11500202500145,15,26,41,0.1205479452054794,0.3260869494328924,7493.90625,7538.03125,7493.90625,7538.03125,1,46,0.3658536496133256,7493.90625,21.23647898272869,0.6341463259964311,3.7376696182833684,0.09375,32,0.5769230547337286,0.3658536496133256,0.468749985351563,0.0020016263211190257,2.772588722239781,3.7376696182833684,-13.214362585867601,D,0.0009476697378726891,D
11620-2022-00171,공기웅,서울특별시 관악구,2021-12-15,서울특별시 관악구 신림동 1641-76,2024-12-16,2025-12-15,1,화담공인중개사사무소,11620-2022-00171,43559,128,43687,0.9671232876712328,30.019986195713308,15736.739130434782,15813.27536231884,15736.739130434782,15813.27536231884,1,1451,0.9970700665873814,15736.739130434782,17754.711963954756,0.002929933389728525,10.68482874383199,0.9420289855072463,69,340.30468484136964,0.9970700665873814,631.2898459233356,2.767981322953312,10.681894577046897,10.68482874383199,18097.93484807037,S,0.10834737627530137,S
11170-2017-00008,이동형,서울특별시 용산구,2017-01-17,서울특별시 용산구 보광동 231-19,2025-01-18,2026-01-17,1,래미안공인중개사사무소,11170201700008,950,15,965,0.8767123287671232,0.29284833529813553,506.6666666666667,517.6,506.6666666666667,517.6,1,3244,0.9844559575290612,506.6666666666667,413.46216207885317,0.015544041434669387,6.873163834212518,0.7333333333333333,15,63.3333291111114,0.9844559575290612,63.3333291111114,1.874999996299342,6.85751406254539,6.873163834212518,337.29585608434087,A,0.0030262067862782626,B
11710-2016-00043,유효열,서울특별시 송파구,2016-02-03,서울특별시 송파구 오금동 1-10,2025-02-12,2026-02-11,1,차칸공인중개사사무소,11710-2016-00043,1323,35,1358,0.8082191780821918,0.3682159754054506,3650.272727272728,3677.090909090909,3650.272727272728,3677.090909090909,1,3593,0.9742268034063131,3650.2727272727275,563.1089638562439,0.025773195857309868,7.214504414151143,0.7727272727272727,22,37.799998920000036,0.9742268034063131,60.13636090289268,0.36243867198000584,7.188412736496954,7.214504414151143,726.9303975052435,A,0.005336752346845386,A
11620-2015-00171,김주희,서울특별시 관악구,2015-12-23,서울특별시 관악구 신림동 1694,2024-12-23,2025-12-22,1,쌍용공인중개사사무소,11620-2015-00171,0,0,0,0.947945205479452,0.0,15736.739130434782,15813.27536231884,15736.739130434782,15813.27536231884,1,3635,0.0,15736.739130434782,1.0,0.0,0.0,0.07971014492753623,69,0.0,0.0,0.0,0.0,0.0,0.0,-11.65720260664989,D,0.0009569037474241875,D
92380000-4745,최경순,서울특별시 마포구,2012-12-04,서울특별시 마포구 대흥동 12-27,2024-12-23,2025-12-22,1,이대푸르지오시티공인중개사사무소,92380000-4745,224,10,234,0.947945205479452,0.04716782479528999,33797.21428571428,33861.78571428572,33797.21428571428,33861.78571428572,1,4749,0.9572649531740814,33797.21428571428,119.78962684317534,0.04273504255241435,5.459585514144159,0.42857142857142855,14,22.399997760000225,0.9572649531740814,15.99999885714294,0.006627765179098048,5.41610040220442,5.459585514144159,22.220500336039542,B,0.0011577996327093816,C
11215-2020-00023,김민숙,서울특별시 광진구,2020-02-18,서울특별시 광진구 자양동 607-36,2025-02-18,2026-02-17,1,금방부동산공인중개사사무소,11215-2020-00023,1575,21,1596,0.7917808219178082,0.7439773260538606,1080.5,1105.8846153846157,1080.5,1105.8846153846157,1,2117,0.9868421046448357,1080.5,668.0450363998837,0.013157894728597809,7.3758821482150125,0.8461538461538461,26,74.99999642857159,0.9868421046448357,60.576920747041505,1.457658490090089,7.362645270417825,7.3758821482150125,683.9960808107408,A,0.00508215044611887,A
11170-2017-00092,안지선,서울특별시 용산구,2017-06-11,서울특별시 용산구 한강로3가 63-70,2025-06-12,2026-06-11,1,용산센트럴드림부동산공인중개사사무소,11170-2017-00092,0,0,0,0.4794520547945205,0.0,506.6666666666667,517.6,506.6666666666667,517.6,1,3099,0.0,506.6666666666667,1.0,0.0,0.0,0.1,15,0.0,0.0,0.0,0.0,0.0,0.0,-26.437990445674913,D,0.0008692531926284014,D
11230-2025-00135,이광수,서울특별시 동대문구,2025-10-16,서울특별시 동대문구 이문동 255-129,2025-10-15,2026-10-14,1,주식회사온부동산중개법인,11230-2025-00135,595,40,635,0.136986301369863,11.899999762000006,1085.4615384615386,1119.1538461538462,1085.4615384615386,1119.1538461538462,1,50,0.9370078725401451,1085.4615384615386,386.1102337962044,0.06299212588505176,6.455198563340122,0.6153846153846154,13,14.87499962812501,0.9370078725401451,45.769227248520984,0.5481539219668342,6.39024066706535,6.455198563340122,348.5387038409906,A,0.0030928772407957873,B
92400000-01-04849,김재균,서울특별시 강서구,2011-10-10,서울특별시 강서구 화곡동 1024-10,2025-10-04,2026-10-03,1,월드공인중개사사무소,92400000-01-05554,4004,22,4026,0.1671232876712328,0.7744680849565825,7493.90625,7538.03125,7493.90625,7538.03125,1,5170,0.9945355188786549,7493.90625,1640.1807464159256,0.005464480872959642,8.300776960851454,0.734375,32,181.99999172727308,0.9945355188786549,125.12499608984388,0.5343007859840385,8.29529885950246,8.300776960851454,1598.5902220672951,S,0.010505723584923925,A
92400000-01-05554,김선화,서울특별시 강서구,2014-10-23,서울특별시 강서구 화곡동 346-1,2025-10-22,2026-10-21,1,월드공인중개사사무소,92400000-01-05554,4004,22,4026,0.1178082191780822,0.985964048021186,7493.90625,7538.03125,7493.90625,7538.03125,1,4061,0.9945355188786549,7493.90625,1642.2957060465717,0.005464480872959642,8.300776960851454,0.734375,32,181.99999172727308,0.9945355188786549,125.12499608984388,0.5343007859840385,8.29529885950246,8.300776960851454,1604.820371172735,S,0.01054266857266744,S
11620-2016-00240,김윤호,서울특별시 관악구,2016-12-28,서울특별시 관악구 신림동 117-3,2024-12-30,2025-12-29,1,감각공인중개사사무소,11620-2016-00240,690,45,735,0.9287671232876712,0.21139705875876316,15736.739130434782,15813.27536231884,15736.739130434782,15813.27536231884,1,3264,0.938775508926836,15736.739130434782,307.2772358553927,0.06122448971261974,6.601230118728877,0.4927536231884058,69,15.3333329925926,0.938775508926836,9.999999855072467,0.04384644075478742,6.53813982376767,6.601230118728877,382.91481120291985,B,0.0032967286805706893,A
11500-2025-00038,김민준,서울특별시 강서구,2025-03-06,서울특별시 강서구 화곡동 345-12,2025-03-07,2026-03-06,1,좋은하루공인중개사사무소,11500202500038,20448,97,20545,0.7452054794520548,74.62773695391337,7493.90625,7538.03125,7493.90625,7538.03125,1,274,0.9952786565590032,7493.90625,8956.335729235903,0.004721343392323127,9.93042155377621,0.9375,32,210.80412153810184,0.9952786565590032,638.9999800312506,2.728617000949456,9.925689260519814,9.93042155377621,8429.691209799854,S,0.0510143756244282,S
11620-2025-00075,조병주,서울특별시 관악구,2025-06-30,서울특별시 관악구 봉천동 928-1,2025-07-02,2026-07-01,1,관악구부동산공인중개사사무소,11620-2025-00075,0,10,10,0.4246575342465753,0.0,15736.739130434782,15813.27536231884,15736.739130434782,15813.27536231884,1,158,0.0,15736.739130434782,1.0,0.99999990000001,2.3978952727983707,0.07971014492753623,69,0.0,0.0,0.0,0.0,0.0,2.3978952727983707,-32.175527397358756,D,0.0008352294110510329,D
11620-2025-00098,신정욱,서울특별시 관악구,2023-04-17,서울특별시 관악구 봉천동 924-9,2025-04-18,2026-04-17,1,더큰부동산공인중개사사무소,11620-2025-00098,10925,42,10967,0.6301369863013698,11.344755959143555,15736.739130434782,15813.27536231884,15736.739130434782,15813.27536231884,1,963,0.9961703290784927,15736.739130434782,4514.33266946379,0.00382967083032464,9.30273722124215,0.782608695652174,69,260.1190414257371,0.9961703290784927,158.33333103864737,0.6942353119508008,9.298900548955663,9.30273722124215,4457.81206881381,S,0.027461002551169813,S
11380-2021-00206,장형환,서울특별시 은평구,2021-12-22,서울특별시 은평구 불광동 281-177,2025-12-23,2026-12-22,1,진솔공인중개사사무소,11380-2021-00206,18,2,20,-0.0520547945205479,0.012465373952586305,6890.545454545455,6915.727272727273,6890.545454545455,6915.727272727273,1,1444,0.8999999550000022,6890.545454545455,35.32465238952593,0.09999999500000024,3.044522437723423,0.18181818181818182,11,8.99999550000225,0.8999999550000022,1.6363634876033195,0.002612275053713454,2.9444389791664403,3.044522437723423,-72.63857774180204,C,0.0005952822005203242,D
9250-6787,방성규,서울특별시 강남구,2005-08-04,서울특별시 강남구 논현동 86-16,2025-08-05,2026-08-04,1,힐공인중개사사무소,92506787,2110,12,2122,0.3315068493150685,0.284060312293476,5373.442307692308,5450.538461538462,5373.442307692308,5450.538461538462,1,7428,0.9943449571185934,5373.442307692308,877.6709518364926,0.005655042410153138,7.660585461703256,0.7307692307692307,52,175.8333186805568,0.9943449571185934,40.57692229659765,0.39267193705360426,7.65491704784832,7.660585461703256,808.2846826450495,A,0.00581918591569018,A
11620-2019-00196,유미선,서울특별시 관악구,2019-10-30,서울특별시 관악구 신림동 1409-18,2025-11-01,2026-10-31,1,119부동산공인중개사사무소,11620201900196,89590,81,89671,0.0904109589041095,40.21095150798431,15736.739130434782,15813.27536231884,15736.739130434782,15813.27536231884,1,2228,0.9990966979179546,15736.739130434782,36269.08241601738,0.0009033020708935632,11.403913847700931,0.9710144927536232,69,1106.049369061119,0.9990966979179546,1298.4057782839743,5.693047285828123,11.40301014748937,11.403913847700931,36809.517393607624,S,0.2193076721056264,S
11545-2025-00031,심명진,서울특별시 금천구,2025-07-01,서울특별시 금천구 독산동 904-43,2025-07-01,2026-06-30,1,새집다오공인중개사사무소,11545-2025-00031,17,29,46,0.4273972602739726,0.10828025408738692,17257.85714285714,17328.95238095238,17257.85714285714,17328.95238095238,1,157,0.3695652093572781,17257.85714285714,19.969758821592215,0.6304347689035921,3.8501476017100584,0.14285714285714285,21,0.5862068763376939,0.3695652093572781,0.8095237709750585,0.000985058565399649,2.8903717578961645,3.8501476017100584,-18.49584150188459,D,0.0009163503953469208,D
