모델,MAE,RMSE,R²,MAPE(%),학습시간(초)
XGBoost,369.4313602573313,511.4299264620108,0.7535407666918805,20.24907689537382,0.6355600357055664
LightGBM,375.5631618980362,522.1332887955524,0.7431168701963968,20.104296180952474,0.9124658107757568
CatBoost,366.80799411684444,520.0136261188266,0.7451983323492362,20.35063126529818,18.117902278900146
RandomForest,375.7336758702613,523.5282909742976,0.7417423888327764,21.14815750450485,0.5987823009490967
GradientBoosting,341.4615944842374,505.2051642972689,0.7595037099553824,18.981515845265832,1.7785179615020752
