timestamp,experiment_name,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda,MAE,RMSE,R2,MAPE,notes
2025-12-04 14:01:19,baseline,1800,0.018,10,3,0.88,0.88,0.03,0.03,1,432.8885605268597,684.8362806660937,0.7834578629604129,15.424045198701975,기본 설정으로 실행
2025-12-04 15:18:29,baseline,1800,0.018,10,3,0.88,0.88,0.03,0.03,1,301.90023978298564,478.2657577623481,0.7844681808843531,15.367853245975969,기본 설정으로 실행
2025-12-05 11:29:57,baseline,1800,0.018,10,3,0.88,0.88,0.03,0.03,1,344.58000631213395,548.7432698541518,0.7389597831544574,15.752010428167317,기본 설정으로 실행
