모델,MAE,RMSE,R²,MAPE(%),학습시간(초)
XGBoost,379.53729827767506,516.4142757820279,0.7487134189957033,20.27505874738495,0.7370877265930176
LightGBM,378.27813973483046,518.8351796906946,0.7463518785889232,19.973356137560703,1.2832419872283936
CatBoost,364.0323973877901,509.3920298354744,0.7555009873935459,19.69485061190618,7.59415340423584
RandomForest,389.24375074644104,531.2220731643293,0.7340958941677382,21.780827718776177,0.7392313480377197
GradientBoosting,355.9344556510873,498.7339521747205,0.7656253223896847,18.817316026717204,3.4244120121002197
