모델,MAE,RMSE,R²,MAPE(%),학습시간(초)
XGBoost,364.6131130310032,481.5022270535395,0.7815412627989802,19.24776323891742,0.8492989540100098
LightGBM,349.1987933484728,475.87257618923826,0.7866197723521613,18.81261983508571,1.4508066177368164
CatBoost,329.2104204370541,453.77508261710585,0.8059766014067704,18.109805743394773,7.635876417160034
RandomForest,370.504608055561,499.8453092160013,0.7645796179152642,20.664866975535304,0.6607279777526855
GradientBoosting,337.0463914848304,458.9718322441994,0.8015071421175828,17.797339052365867,3.632514715194702
