iter	Logloss
0	0.6914021952
1	0.6892386468
2	0.6870073863
3	0.6842887584
4	0.6819990987
5	0.6801546534
6	0.6780509877
7	0.6763488494
8	0.6743403028
9	0.6718242227
10	0.6696896578
11	0.6677917754
12	0.6665180241
13	0.6650584767
14	0.6632347842
15	0.6615549601
16	0.660219731
17	0.6586979041
18	0.6574103487
19	0.6551743531
20	0.6533372715
21	0.6517698131
22	0.6505927401
23	0.6489968172
24	0.647351213
25	0.6460660516
26	0.6446753403
27	0.6430743334
28	0.641648737
29	0.6398851955
30	0.6385550055
31	0.6367189813
32	0.6356642311
33	0.6346517926
34	0.6330003628
35	0.6320112682
36	0.630559659
37	0.629907321
38	0.628616977
39	0.6268187702
40	0.6253540774
41	0.6242558648
42	0.6229199804
43	0.6217241251
44	0.6201296248
45	0.6190497399
46	0.6182663784
47	0.6171645375
48	0.6158582938
49	0.6147878339
50	0.6132433227
51	0.611938536
52	0.6110453469
53	0.6100733524
54	0.6088296004
55	0.6079539585
56	0.6066025763
57	0.6050677977
58	0.604019183
59	0.6032345369
60	0.6023329272
61	0.6016200111
62	0.6011387911
63	0.5999085829
64	0.598795155
65	0.5981765636
66	0.5976118075
67	0.5965716802
68	0.5956325008
69	0.5947263255
70	0.5940675759
71	0.5931545172
72	0.5922488954
73	0.591571388
74	0.5906708757
75	0.5901075446
76	0.5893474405
77	0.5888319026
78	0.5878475862
79	0.5871024166
80	0.5862189903
81	0.5857511708
82	0.5851990324
83	0.5845919651
84	0.5837480473
85	0.5829955989
86	0.5824139659
87	0.5816857258
88	0.580970448
89	0.5802886171
90	0.5792955257
91	0.5788718514
92	0.5782389362
93	0.5776204373
94	0.577191608
95	0.5767475985
96	0.5758978623
97	0.5750614356
98	0.5743405491
99	0.5736206951
100	0.5733311815
101	0.5728529611
102	0.5722352832
103	0.5715689564
104	0.5710204327
105	0.5699220511
106	0.5691913551
107	0.5687444981
108	0.5682631127
109	0.5677501575
110	0.5670920904
111	0.5664196524
112	0.565729759
113	0.5651310837
114	0.564571076
115	0.5639771336
116	0.5636187241
117	0.5633883237
118	0.5628299462
119	0.5622342895
120	0.5616975867
121	0.5609754398
122	0.5602444189
123	0.5597458482
124	0.5593705559
125	0.5587037782
126	0.5580899387
127	0.5576420375
128	0.5572458556
129	0.5566481215
130	0.5563354855
131	0.5557648466
132	0.5552483991
133	0.5546082204
134	0.5540841452
135	0.5532271826
136	0.5529584043
137	0.5528072649
138	0.5520778477
139	0.5513731315
140	0.5507997023
141	0.5502173822
142	0.5493720704
143	0.5488278264
144	0.5485492571
145	0.547898218
146	0.5475563269
147	0.5471309918
148	0.5466881866
149	0.5462631563
150	0.545798243
151	0.5454399668
152	0.5452934345
153	0.5448487519
154	0.5445290224
155	0.5439519306
156	0.5433935475
157	0.5431014268
158	0.5428428349
159	0.5424147092
160	0.5419793719
161	0.5415349029
162	0.5410944214
163	0.5406620577
164	0.5403676848
165	0.5399012442
166	0.539689026
167	0.5394198168
168	0.5390732729
169	0.5387770189
170	0.5382426632
171	0.5379007743
172	0.5373220182
173	0.5369349363
174	0.5366321986
175	0.5362862989
176	0.5358118848
177	0.535603048
178	0.535421612
179	0.5350681233
180	0.5344881408
181	0.5340690061
182	0.5334761917
183	0.533300911
184	0.5326584604
185	0.5322136258
186	0.5319220718
187	0.5316929389
188	0.5312307603
189	0.5305981955
190	0.5302499124
191	0.5300646339
192	0.5297884269
193	0.5295636662
194	0.5290181183
195	0.5289416356
196	0.5285295365
197	0.5282692849
198	0.5280441812
199	0.5277325363
